e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,21,12,2,0,51.48082138,-0.00437583,-1.0,1.4
2,2017,7,21,12,2,1,51.48119307,-0.00375921,-1.0,1.4
3,2017,7,21,12,2,2,51.48119307,-0.00375921,-1.0,1.4
4,2017,7,21,12,2,3,51.4812024,-0.00379649,-1.0,1.4
5,2017,7,21,12,2,4,51.4812024,-0.00379649,-1.0,1.4
6,2017,7,21,12,2,5,51.48122343,-0.00380301,-1.0,1.4
7,2017,7,21,12,2,6,51.48122343,-0.00380301,-1.0,1.2
8,2017,7,21,12,2,7,51.48123048,-0.00380315,-1.0,1.5
9,2017,7,21,12,2,8,51.48123024,-0.00379308,-1.0,1.5
10,2017,7,21,12,2,9,51.48122396,-0.0037843,-1.0,1.5
11,2017,7,21,12,2,10,51.48122396,-0.0037843,-1.0,1.5
12,2017,7,21,12,2,11,51.48122933,-0.00376734,-1.0,1.3
13,2017,7,21,12,2,12,51.48122504,-0.00376033,-1.0,1.4
14,2017,7,21,12,2,13,51.48121626,-0.0037439,-1.0,1.3
15,2017,7,21,12,2,14,51.48121239,-0.00373923,-1.0,1.3
16,2017,7,21,12,2,15,51.48121339,-0.00374883,-1.0,1.3
17,2017,7,21,12,2,16,51.4812112,-0.00376331,-1.0,1.3
18,2017,7,21,12,2,17,51.48121073,-0.00376701,-1.0,1.1
19,2017,7,21,12,2,18,51.48121067,-0.00376788,-1.0,1.1
20,2017,7,21,12,2,19,51.48121067,-0.00376788,-1.0,1.1
21,2017,7,21,12,2,20,51.4812104,-0.00376795,-1.0,1.1
22,2017,7,21,12,2,21,51.48120663,-0.00377382,-1.0,1.1
23,2017,7,21,12,2,22,51.48120619,-0.00377389,-1.0,1.1
24,2017,7,21,12,2,23,51.48120543,-0.00377589,-1.0,1.2
25,2017,7,21,12,2,24,51.48120435,-0.00377644,-1.0,1.3
26,2017,7,21,12,2,25,51.48120407,-0.00377656,-1.0,1.3
27,2017,7,21,12,2,26,51.48120441,-0.00377706,-1.0,1.3
28,2017,7,21,12,2,27,51.48120515,-0.0037861,-1.0,1.3
29,2017,7,21,12,2,30,51.48120577,-0.00378928,-1.0,1.3
30,2017,7,21,12,2,33,51.48120606,-0.00378799,-1.0,1.3
31,2017,7,21,12,2,34,51.48120617,-0.0037876,-1.0,1.3
32,2017,7,21,12,2,35,51.48120617,-0.0037876,-1.0,1.3
33,2017,7,21,12,2,36,51.48120608,-0.00378776,-1.0,1.3
34,2017,7,21,12,2,37,51.48120581,-0.00378855,-1.0,1.3
35,2017,7,21,12,2,38,51.48120572,-0.00378875,-1.0,1.3
36,2017,7,21,12,2,40,51.48120573,-0.00378872,-1.0,1.3
37,2017,7,21,12,2,41,51.48120573,-0.00378868,-1.0,1.3
38,2017,7,21,12,2,42,51.48120575,-0.00378866,-1.0,1.3
39,2017,7,21,12,2,43,51.48120574,-0.00378864,-1.0,1.3
40,2017,7,21,12,2,44,51.48120571,-0.00378863,-1.0,1.9
41,2017,7,21,12,2,45,51.48120571,-0.00378863,-1.0,2.2
42,2017,7,21,12,2,46,51.48120572,-0.00378867,-1.0,4.9
43,2017,7,21,12,2,47,51.48120577,-0.00378858,-1.0,4.9
44,2017,7,21,12,2,48,51.48120568,-0.00378866,-1.0,4.9
45,2017,7,21,12,2,49,51.48120568,-0.00378866,-1.0,2.2
46,2017,7,21,12,2,50,51.48120565,-0.00378882,-1.0,1.7
47,2017,7,21,12,2,51,51.48120565,-0.00378882,-1.0,1.3
48,2017,7,21,12,2,52,51.48120565,-0.00378882,-1.0,1.3
49,2017,7,21,12,2,53,51.48120565,-0.00378882,-1.0,1.3
50,2017,7,21,12,2,54,51.48120565,-0.00378882,-1.0,1.3
51,2017,7,21,12,2,56,51.48120565,-0.00378882,-1.0,1.5
52,2017,7,21,12,2,57,51.48120565,-0.00378882,-1.0,2.0
53,2017,7,21,12,2,59,51.48120565,-0.00378882,-1.0,2.0
54,2017,7,21,12,3,0,51.48120565,-0.00378882,-1.0,2.0
55,2017,7,21,12,3,1,51.48120565,-0.00378882,-1.0,2.0
56,2017,7,21,12,3,2,51.48120565,-0.00378882,-1.0,1.7
57,2017,7,21,12,3,3,51.48120565,-0.00378882,-1.0,1.4
58,2017,7,21,12,3,4,51.48120565,-0.00378882,-1.0,1.4
59,2017,7,21,12,3,5,51.48120565,-0.00378882,-1.0,1.2
60,2017,7,21,12,3,6,51.48120565,-0.00378882,-1.0,1.2
61,2017,7,21,12,3,8,51.48120565,-0.00378882,-1.0,1.1
62,2017,7,21,12,3,9,51.48120565,-0.00378882,-1.0,1.1
63,2017,7,21,12,3,11,51.48120565,-0.00378882,-1.0,1.3
64,2017,7,21,12,3,12,51.48120565,-0.00378882,-1.0,1.3
