obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,16,1,295.0,33.0,9.7
2,1,21,1,163.0,50.0,22.9
3,1,23,1,307.0,9.0,15.1
4,1,25,1,118.0,16.0,9.8
5,1,26,1,292.0,62.0,20.5
6,1,29,1,64.0,47.0,13.7
7,1,31,1,206.0,43.0,13.5
8,1,5,1,52.0,14.0,0.0
9,1,20,1,98.0,17.0,0.0
10,1,27,1,250.0,8.0,0.0
11,1,18,3,229.0,40.0,18.7
12,1,16,3,314.0,47.0,20.3
13,1,17,3,19.0,82.0,25.0
14,1,9,3,0.0,0.0,0.0
15,1,1,3,61.0,7.0,0.0
16,1,24,3,43.0,28.0,0.0
17,1,8,3,15.0,12.0,0.0
18,1,5,5,113.0,11.0,19.0
19,1,136,2,0.0,0.0,28.4
20,1,136,2,0.0,0.0,28.4
21,2,16,1,295.0,33.0,9.7
22,2,21,1,163.0,50.0,23.6
23,2,23,1,307.0,9.0,15.1
24,2,25,1,118.0,16.0,9.8
25,2,26,1,292.0,62.0,18.3
26,2,29,1,64.0,47.0,14.3
27,2,31,1,206.0,43.0,13.5
28,2,5,1,52.0,14.0,0.0
29,2,20,1,98.0,17.0,0.0
30,2,27,1,250.0,8.0,0.0
31,2,18,3,229.0,40.0,18.7
32,2,16,3,314.0,47.0,21.2
33,2,17,3,19.0,82.0,30.9
34,2,9,3,0.0,0.0,0.0
35,2,1,3,61.0,7.0,0.0
36,2,24,3,43.0,28.0,0.0
37,2,7,3,330.0,2.0,0.0
38,2,8,3,15.0,12.0,0.0
39,2,5,5,113.0,11.0,19.0
40,2,136,2,0.0,0.0,28.4
41,2,136,2,0.0,0.0,29.0
42,3,16,1,295.0,33.0,9.7
43,3,21,1,163.0,50.0,22.1
44,3,23,1,307.0,9.0,15.1
45,3,25,1,118.0,16.0,9.8
46,3,26,1,292.0,62.0,17.7
47,3,29,1,64.0,47.0,20.1
48,3,31,1,206.0,43.0,13.5
49,3,5,1,52.0,14.0,0.0
50,3,20,1,98.0,17.0,0.0
51,3,27,1,250.0,8.0,0.0
52,3,18,3,229.0,40.0,18.7
53,3,16,3,314.0,47.0,22.3
54,3,17,3,19.0,82.0,30.9
55,3,9,3,0.0,0.0,0.0
56,3,1,3,61.0,7.0,0.0
57,3,24,3,43.0,28.0,0.0
