e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,8,17,4,11,47,51.48096608,-0.00430166,-1.0,1.4
2,2017,8,17,4,11,48,51.48120658,-0.00382473,-1.0,1.7
3,2017,8,17,4,11,49,51.48120658,-0.00382473,-1.0,1.5
4,2017,8,17,4,11,50,51.48120509,-0.00379982,-1.0,1.5
5,2017,8,17,4,11,51,51.48121014,-0.00379663,-1.0,1.4
6,2017,8,17,4,11,52,51.48119843,-0.00380819,-1.0,1.4
7,2017,8,17,4,11,53,51.48119843,-0.00380819,-1.0,1.4
8,2017,8,17,4,11,54,51.48118929,-0.00380076,-1.0,1.3
9,2017,8,17,4,11,55,51.48118929,-0.00380076,-1.0,1.4
10,2017,8,17,4,11,56,51.48118656,-0.00380255,-1.0,1.4
11,2017,8,17,4,11,57,51.48118878,-0.00380563,-1.0,1.4
12,2017,8,17,4,11,58,51.48119018,-0.00380321,-1.0,1.4
13,2017,8,17,4,11,59,51.48119228,-0.00379891,-1.0,1.4
14,2017,8,17,4,12,0,51.48119122,-0.00379687,-1.0,1.4
15,2017,8,17,4,12,1,51.48118549,-0.00379368,-1.0,1.3
16,2017,8,17,4,12,2,51.48118549,-0.00379368,-1.0,1.3
17,2017,8,17,4,12,3,51.48118798,-0.00379222,-1.0,1.3
18,2017,8,17,4,12,4,51.48118798,-0.00379222,-1.0,1.3
19,2017,8,17,4,12,5,51.48119143,-0.00380001,-1.0,1.3
20,2017,8,17,4,12,6,51.48118958,-0.00379965,-1.0,1.3
21,2017,8,17,4,12,7,51.48118888,-0.00380032,-1.0,1.1
22,2017,8,17,4,12,8,51.48118761,-0.00379894,-1.0,1.6
23,2017,8,17,4,12,9,51.48118761,-0.00379894,-1.0,1.6
24,2017,8,17,4,12,10,51.48118748,-0.00379912,-1.0,1.6
25,2017,8,17,4,12,11,51.48118736,-0.00379931,-1.0,1.2
26,2017,8,17,4,12,12,51.4811868,-0.00379845,-1.0,1.2
27,2017,8,17,4,12,13,51.48118671,-0.0037983,-1.0,1.6
28,2017,8,17,4,12,14,51.48118671,-0.0037983,-1.0,1.6
29,2017,8,17,4,12,15,51.48118668,-0.00379821,-1.0,1.6
30,2017,8,17,4,12,16,51.48118674,-0.00379834,-1.0,1.6
31,2017,8,17,4,12,17,51.4811892,-0.00380221,-1.0,2.0
32,2017,8,17,4,12,18,51.4811892,-0.00380221,-1.0,1.7
33,2017,8,17,4,12,19,51.48118935,-0.00380698,-1.0,1.7
34,2017,8,17,4,12,20,51.48118935,-0.00380698,-1.0,1.6
35,2017,8,17,4,12,21,51.48119034,-0.00380475,-1.0,1.5
36,2017,8,17,4,12,22,51.48118951,-0.00380612,-1.0,1.5
37,2017,8,17,4,12,23,51.48118925,-0.00380742,-1.0,1.5
38,2017,8,17,4,12,24,51.48118925,-0.00380742,-1.0,1.5
39,2017,8,17,4,12,25,51.48118916,-0.00380766,-1.0,1.2
40,2017,8,17,4,12,26,51.48118916,-0.00380818,-1.0,1.1
