obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,3,1,219.0,27.0,10.6
2,1,8,1,161.0,45.0,17.3
3,1,11,1,262.0,80.0,26.7
4,1,17,1,313.0,10.0,9.2
5,1,22,1,213.0,52.0,25.1
6,1,27,1,147.0,12.0,21.1
7,1,28,1,286.0,32.0,10.9
8,1,32,1,77.0,35.0,16.7
9,1,10,1,52.0,16.0,0.0
10,1,14,1,101.0,34.0,0.0
11,1,24,1,11.0,2.0,0.0
12,1,15,3,323.0,16.0,18.5
13,1,1,3,192.0,30.0,25.1
14,1,24,3,313.0,41.0,15.1
15,1,23,3,71.0,80.0,34.1
16,1,8,3,132.0,71.0,30.3
17,1,22,3,122.0,23.0,0.0
18,1,16,3,19.0,3.0,0.0
19,1,7,3,39.0,37.0,0.0
20,1,5,5,115.0,9.0,21.6
21,1,6,5,32.0,5.0,0.0
22,1,9,5,45.0,28.0,0.0
23,1,15,5,42.0,27.0,0.0
24,1,127,2,0.0,0.0,28.6
25,1,136,2,0.0,0.0,29.5
26,2,3,1,219.0,27.0,10.6
27,2,8,1,161.0,45.0,21.8
28,2,11,1,262.0,80.0,26.3
29,2,17,1,313.0,10.0,9.2
30,2,22,1,213.0,52.0,18.1
31,2,27,1,147.0,12.0,10.0
32,2,28,1,286.0,32.0,10.9
33,2,32,1,77.0,35.0,16.7
34,2,10,1,52.0,16.0,0.0
35,2,14,1,101.0,34.0,0.0
36,2,24,1,11.0,2.0,0.0
37,2,15,3,323.0,16.0,18.5
38,2,1,3,192.0,30.0,25.1
39,2,24,3,313.0,41.0,13.5
40,2,23,3,71.0,80.0,29.9
41,2,8,3,132.0,71.0,30.4
42,2,22,3,122.0,23.0,0.0
43,2,16,3,19.0,3.0,0.0
44,2,7,3,39.0,37.0,0.0
45,2,5,5,115.0,9.0,21.6
46,2,6,5,32.0,5.0,0.0
47,2,9,5,45.0,28.0,0.0
48,2,15,5,42.0,27.0,0.0
49,2,127,2,0.0,0.0,28.6
50,2,136,2,0.0,0.0,29.5
51,3,3,1,219.0,27.0,10.6
52,3,8,1,161.0,45.0,28.3
53,3,11,1,262.0,80.0,18.9
54,3,17,1,313.0,10.0,9.2
55,3,22,1,213.0,52.0,31.4
56,3,27,1,147.0,12.0,10.0
57,3,28,1,286.0,32.0,10.9
58,3,32,1,77.0,35.0,16.7
59,3,10,1,52.0,16.0,0.0
60,3,14,1,101.0,34.0,0.0
61,3,24,1,11.0,2.0,0.0
62,3,15,3,323.0,16.0,18.5
63,3,1,3,192.0,30.0,11.1
64,3,24,3,313.0,41.0,13.5
65,3,23,3,71.0,80.0,29.0
66,3,8,3,132.0,71.0,24.1
67,3,22,3,122.0,23.0,0.0
68,3,16,3,19.0,3.0,0.0
69,3,7,3,39.0,37.0,0.0
70,3,5,5,115.0,9.0,21.6
71,3,6,5,32.0,5.0,0.0
72,3,9,5,45.0,28.0,0.0
73,3,15,5,42.0,27.0,0.0
74,3,127,2,0.0,0.0,28.6
75,3,136,2,0.0,0.0,29.5
76,4,3,1,219.0,27.0,10.6
77,4,8,1,161.0,45.0,21.5
78,4,11,1,262.0,80.0,27.9
79,4,17,1,313.0,10.0,9.2
80,4,22,1,213.0,52.0,34.7
81,4,27,1,147.0,12.0,10.0
82,4,28,1,286.0,32.0,10.9
83,4,32,1,77.0,35.0,16.0
84,4,10,1,52.0,16.0,0.0
85,4,14,1,101.0,34.0,0.0
86,4,24,1,11.0,2.0,0.0
87,4,22,3,122.0,23.0,15.1
88,4,1,3,192.0,30.0,11.1
89,4,24,3,313.0,41.0,18.2
90,4,23,3,71.0,80.0,28.9
91,4,8,3,132.0,71.0,33.3
92,4,16,3,19.0,3.0,0.0
93,4,7,3,39.0,37.0,0.0
94,4,5,5,115.0,9.0,21.6
95,4,6,5,32.0,5.0,0.0
96,4,9,5,45.0,28.0,0.0
97,4,15,5,42.0,27.0,0.0
98,4,127,2,0.0,0.0,28.6
99,4,127,2,0.0,0.0,28.6
100,5,3,1,219.0,27.0,13.5
101,5,8,1,161.0,45.0,21.3
102,5,11,1,262.0,80.0,26.4
103,5,17,1,313.0,10.0,9.2
104,5,22,1,213.0,52.0,35.4
105,5,27,1,147.0,12.0,10.0
106,5,28,1,286.0,32.0,10.9
107,5,32,1,77.0,35.0,20.7
108,5,10,1,52.0,16.0,0.0
109,5,14,1,101.0,34.0,0.0
110,5,24,1,11.0,2.0,0.0
111,5,22,3,122.0,23.0,15.5
112,5,1,3,192.0,30.0,11.1
113,5,24,3,313.0,41.0,19.4
114,5,23,3,71.0,80.0,29.7
115,5,8,3,132.0,71.0,33.8
116,5,16,3,19.0,3.0,0.0
117,5,15,3,323.0,16.0,0.0
118,5,7,3,39.0,37.0,0.0
119,5,5,5,115.0,9.0,21.6
120,5,6,5,32.0,5.0,0.0
121,5,9,5,45.0,28.0,0.0
122,5,15,5,42.0,27.0,0.0
123,5,127,2,0.0,0.0,28.6
124,5,136,2,0.0,0.0,29.5
125,6,3,1,219.0,27.0,13.5
126,6,8,1,161.0,45.0,20.5
127,6,11,1,262.0,80.0,27.9
128,6,17,1,313.0,10.0,9.2
129,6,22,1,213.0,52.0,34.1
