e_id,year,month,day,hour,minute,second,latitude,longitude,altitude,HDOP
1,2017,7,20,3,44,47,-1.0,-1.0,-1.0,0.7
2,2017,7,20,3,44,48,51.48274925,-0.01417597,-1.0,0.7
3,2017,7,20,3,44,49,51.48282953,-0.01430734,-1.0,0.7
4,2017,7,20,3,44,50,51.48282953,-0.01430734,-1.0,0.7
5,2017,7,20,3,44,51,51.48281286,-0.01429196,-1.0,0.7
6,2017,7,20,3,44,52,51.48275152,-0.0143469,-1.0,0.6
7,2017,7,20,3,44,53,51.48282749,-0.01440498,-1.0,0.6
8,2017,7,20,3,44,54,51.48286345,-0.014344,-1.0,0.6
9,2017,7,20,3,44,55,51.48288018,-0.01432924,-1.0,0.6
10,2017,7,20,3,44,56,51.48287982,-0.01432095,-1.0,0.6
11,2017,7,20,3,44,57,51.48287982,-0.01432095,-1.0,0.6
12,2017,7,20,3,44,58,51.48285591,-0.01425276,-1.0,0.6
13,2017,7,20,3,44,59,51.48286033,-0.01423824,-1.0,0.6
14,2017,7,20,3,45,0,51.48286724,-0.01424183,-1.0,0.6
15,2017,7,20,3,45,1,51.48287855,-0.01424517,-1.0,0.6
16,2017,7,20,3,45,2,51.48288996,-0.01427603,-1.0,0.6
17,2017,7,20,3,45,3,51.48288664,-0.01427234,-1.0,0.6
18,2017,7,20,3,45,4,51.48288664,-0.01427234,-1.0,0.6
19,2017,7,20,3,45,5,51.48288534,-0.01432112,-1.0,0.6
20,2017,7,20,3,45,6,51.48288534,-0.01432112,-1.0,0.6
21,2017,7,20,3,45,7,51.48288786,-0.01433206,-1.0,0.6
22,2017,7,20,3,45,8,51.48289264,-0.01433198,-1.0,0.6
23,2017,7,20,3,45,9,51.48288885,-0.0143268,-1.0,0.6
24,2017,7,20,3,45,10,51.48288062,-0.01430596,-1.0,0.6
25,2017,7,20,3,45,11,51.48288062,-0.01430596,-1.0,0.6
26,2017,7,20,3,45,12,51.48286557,-0.01429276,-1.0,0.6
27,2017,7,20,3,45,13,51.48286557,-0.01429276,-1.0,0.6
28,2017,7,20,3,45,14,51.48286056,-0.01428757,-1.0,0.6
29,2017,7,20,3,45,15,51.4828577,-0.01428096,-1.0,0.6
30,2017,7,20,3,45,16,51.48285777,-0.01427874,-1.0,0.6
31,2017,7,20,3,45,17,51.48285777,-0.01427874,-1.0,0.6
32,2017,7,20,3,45,18,51.48285822,-0.01427757,-1.0,0.6
33,2017,7,20,3,45,19,51.48285822,-0.01427757,-1.0,0.6
34,2017,7,20,3,45,20,51.48285831,-0.01427744,-1.0,0.6
35,2017,7,20,3,45,21,51.48285841,-0.01427738,-1.0,0.6
36,2017,7,20,3,45,22,51.48285854,-0.01427739,-1.0,0.6
37,2017,7,20,3,45,23,51.48285854,-0.01427739,-1.0,0.7
38,2017,7,20,3,45,24,51.48285854,-0.01427739,-1.0,0.7
39,2017,7,20,3,45,25,51.48285854,-0.01427739,-1.0,0.7
40,2017,7,20,3,45,26,51.48285854,-0.01427739,-1.0,0.7
41,2017,7,20,3,45,27,51.48285854,-0.01427739,-1.0,0.7
