sv_num,sv_sys,sv_id
1,GPS,1
2,GPS,2
3,GPS,3
4,GPS,4
5,GPS,5
6,GPS,6
7,GPS,7
8,GPS,8
9,GPS,9
10,GPS,10
11,GPS,11
12,GPS,12
13,GPS,13
14,GPS,14
15,GPS,15
16,GPS,16
17,GPS,17
18,GPS,18
19,GPS,19
20,GPS,20
21,GPS,21
22,GPS,22
23,GPS,23
24,GPS,24
25,GPS,25
26,GPS,26
27,GPS,27
28,GPS,28
29,GPS,29
30,GPS,30
31,GPS,31
32,GPS,32
33,GLONASS,1
34,GLONASS,2
35,GLONASS,3
36,GLONASS,4
37,GLONASS,5
38,GLONASS,6
39,GLONASS,7
40,GLONASS,8
41,GLONASS,9
42,GLONASS,10
43,GLONASS,11
44,GLONASS,12
45,GLONASS,13
46,GLONASS,14
47,GLONASS,15
48,GLONASS,16
49,GLONASS,17
50,GLONASS,18
51,GLONASS,19
52,GLONASS,20
53,GLONASS,21
54,GLONASS,22
55,GLONASS,23
56,GLONASS,24
57,Beidou,1
58,Beidou,2
59,Beidou,3
60,Beidou,4
61,Beidou,5
62,Beidou,6
63,Beidou,7
64,Beidou,8
65,Beidou,9
66,Beidou,10
67,Beidou,11
68,Beidou,12
69,Beidou,13
70,Beidou,14
71,Beidou,15
72,Beidou,16
73,Beidou,17
74,Beidou,18
75,Beidou,19
76,Beidou,20
77,Beidou,21
78,Beidou,22
79,Beidou,23
80,Beidou,24
81,Beidou,25
82,Beidou,26
83,Beidou,27
84,Beidou,28
85,Beidou,29
86,Beidou,30
87,Beidou,31
88,Beidou,32
89,Beidou,33
90,Beidou,34
91,Beidou,35
92,Beidou,36
93,Beidou,37
