obs_id,e_id,sv_prn,constell_id,azimuth,elevation,CN0
1,1,5,1,46.0,15.0,18.7
2,1,9,1,327.0,6.0,28.1
3,1,16,1,298.0,38.0,34.4
4,1,20,1,91.0,21.0,21.8
5,1,21,1,156.0,57.0,33.2
6,1,23,1,302.0,6.0,28.7
7,1,25,1,122.0,9.0,18.2
8,1,26,1,289.0,68.0,27.1
9,1,27,1,254.0,14.0,18.5
10,1,29,1,67.0,38.0,20.2
11,1,31,1,203.0,37.0,26.5
12,1,18,1,0.0,0.0,0.0
13,1,6,3,61.0,10.0,20.1
14,1,22,3,25.0,75.0,27.1
15,1,13,3,312.0,52.0,19.2
16,1,12,3,178.0,56.0,30.8
17,1,11,3,157.0,9.0,23.0
18,1,5,3,8.0,11.0,21.3
19,1,23,3,234.0,40.0,21.4
20,1,21,3,46.0,19.0,31.1
21,1,11,5,240.0,70.0,22.3
22,1,12,5,61.0,48.0,25.4
23,1,5,5,113.0,11.0,0.0
24,1,6,5,60.0,2.0,0.0
25,1,13,5,49.0,11.0,0.0
26,1,193,4,0.0,0.0,19.4
27,1,17,5,30.0,9.0,0.0
28,2,5,1,46.0,15.0,21.7
29,2,9,1,327.0,6.0,27.6
30,2,16,1,298.0,38.0,33.7
31,2,20,1,91.0,21.0,21.8
32,2,21,1,156.0,57.0,32.8
33,2,23,1,302.0,6.0,27.2
34,2,25,1,122.0,9.0,18.2
35,2,26,1,289.0,68.0,26.7
36,2,27,1,254.0,14.0,18.8
37,2,29,1,67.0,38.0,18.9
38,2,31,1,203.0,37.0,25.0
39,2,18,1,0.0,0.0,0.0
40,2,6,3,61.0,10.0,20.1
41,2,22,3,25.0,75.0,27.9
42,2,13,3,312.0,52.0,19.2
43,2,12,3,178.0,56.0,30.6
44,2,11,3,157.0,9.0,23.0
45,2,5,3,8.0,11.0,17.2
46,2,23,3,234.0,40.0,23.1
47,2,21,3,46.0,19.0,29.0
48,2,11,5,240.0,70.0,22.6
49,2,12,5,61.0,48.0,22.7
50,2,5,5,113.0,11.0,0.0
51,2,6,5,60.0,2.0,0.0
52,2,13,5,49.0,11.0,0.0
53,2,193,4,0.0,0.0,20.3
54,2,17,5,30.0,9.0,0.0
55,3,5,1,46.0,15.0,32.2
56,3,9,1,327.0,6.0,25.1
57,3,16,1,298.0,38.0,33.9
58,3,20,1,91.0,21.0,23.1
59,3,21,1,156.0,57.0,30.4
60,3,23,1,302.0,6.0,19.6
61,3,25,1,122.0,9.0,19.5
62,3,26,1,289.0,68.0,26.9
63,3,27,1,254.0,14.0,18.8
64,3,29,1,67.0,38.0,30.6
65,3,31,1,203.0,37.0,25.9
66,3,18,1,0.0,0.0,0.0
67,3,6,3,61.0,10.0,14.5
68,3,22,3,25.0,75.0,27.5
69,3,13,3,312.0,52.0,21.9
70,3,12,3,178.0,56.0,29.8
71,3,11,3,157.0,9.0,23.4
72,3,5,3,8.0,11.0,17.2
73,3,23,3,234.0,40.0,26.7
74,3,21,3,46.0,19.0,28.0
75,3,11,5,240.0,70.0,29.7
76,3,12,5,61.0,48.0,23.5
77,3,5,5,113.0,11.0,0.0
78,3,6,5,60.0,2.0,0.0
79,3,13,5,49.0,11.0,0.0
80,3,193,4,0.0,0.0,20.3
81,3,17,5,30.0,9.0,0.0
82,4,5,1,46.0,15.0,25.8
83,4,9,1,327.0,6.0,22.0
84,4,16,1,298.0,38.0,33.6
85,4,20,1,91.0,21.0,28.0
86,4,21,1,156.0,57.0,25.3
87,4,23,1,302.0,6.0,27.1
88,4,25,1,122.0,9.0,21.9
89,4,26,1,289.0,68.0,26.7
90,4,27,1,254.0,14.0,16.3
91,4,29,1,67.0,38.0,29.8
92,4,31,1,203.0,37.0,25.4
93,4,18,1,0.0,0.0,0.0
94,4,6,3,61.0,10.0,22.3
95,4,22,3,25.0,75.0,29.3
96,4,13,3,312.0,52.0,25.3
97,4,12,3,178.0,56.0,27.2
98,4,11,3,157.0,9.0,17.3
99,4,5,3,8.0,11.0,23.3
100,4,23,3,234.0,40.0,29.7
101,4,21,3,46.0,19.0,35.5
102,4,11,5,240.0,70.0,32.6
103,4,12,5,61.0,48.0,26.6
104,4,5,5,113.0,11.0,0.0
105,4,6,5,60.0,2.0,0.0
106,4,13,5,49.0,11.0,0.0
107,4,193,4,0.0,0.0,20.9
108,4,17,5,30.0,9.0,0.0
109,5,5,1,46.0,15.0,30.4
110,5,9,1,327.0,6.0,20.3
111,5,16,1,298.0,38.0,32.6
112,5,20,1,91.0,21.0,27.4
113,5,21,1,156.0,57.0,21.3
114,5,23,1,302.0,6.0,24.6
115,5,25,1,122.0,9.0,24.8
116,5,26,1,289.0,68.0,18.9
117,5,27,1,254.0,14.0,19.6
118,5,29,1,67.0,38.0,38.2
119,5,31,1,203.0,37.0,28.2
120,5,18,1,0.0,0.0,0.0
121,5,6,3,61.0,10.0,22.3
122,5,22,3,25.0,75.0,23.6
123,5,13,3,312.0,52.0,27.8
124,5,12,3,178.0,56.0,27.4
125,5,11,3,157.0,9.0,23.4
126,5,5,3,8.0,11.0,24.4
127,5,23,3,234.0,40.0,33.3
128,5,21,3,46.0,19.0,33.2
129,5,11,5,240.0,70.0,26.8
130,5,12,5,61.0,48.0,25.1
131,5,5,5,113.0,11.0,0.0
132,5,6,5,60.0,2.0,0.0
133,5,13,5,49.0,11.0,0.0
134,5,193,4,0.0,0.0,25.2
135,5,17,5,30.0,9.0,0.0
136,6,5,1,46.0,15.0,30.8
137,6,9,1,327.0,6.0,24.8
138,6,16,1,298.0,38.0,30.2
139,6,20,1,91.0,21.0,26.9
140,6,21,1,156.0,57.0,23.3
141,6,23,1,302.0,6.0,21.9
142,6,25,1,122.0,9.0,24.8
143,6,26,1,289.0,68.0,19.9
144,6,29,1,67.0,38.0,38.9
145,6,31,1,203.0,37.0,28.8
146,6,18,1,0.0,0.0,0.0
147,6,27,1,254.0,14.0,0.0
148,6,6,3,61.0,10.0,22.3
149,6,22,3,25.0,75.0,18.4
150,6,13,3,312.0,52.0,28.3
151,6,12,3,178.0,56.0,27.2
152,6,11,3,157.0,9.0,23.7
153,6,5,3,8.0,11.0,23.5
154,6,23,3,234.0,40.0,32.4
155,6,21,3,46.0,19.0,32.6
156,6,11,5,240.0,70.0,21.8
